Name,Description,Indian
Nimesh/Nimish,Momentary; Blink of an eye.,
Nipun,Expert,
Nirad/Neerad,Cloud,
Nirajan,Please advise us the meaning of this name.,
Nirajit,Illuminated,
Niranjan,"Simple, Full moon night",
Nirav/Neerav,"Quiet, silent",
Nirbhaya,Fearless,
Nirdesh,The person who shows others a correct path; in Iranian(allah or buddha),
Nirjal,M,
Nirjhar,Waterful,
Nirmal,"Clean, pure",
Nirmay,Pure,
Nirupam,Without comparison,
Nirvan,Liberation,
Nirvik,Nirvik means strong,
Nischal,"Calm, pure",
Nischit,"Committed, dedicated, definite",
Nishad,Seventh note on Indian musical scale,
Nishan,Sign,
Nishant; Nishanta,Dawn,
Nishesh,Entire,
Nishit,Night,
Nishok,Happy,
Nishosh,Pease advise us the meaning of this name,
Niskarsh,Please advise us the meaning of this name.,
Nitesh/Niteesh,"God of law, one well versed in law",
Nivas,Where u live,
NOBAL,"GOOD,Nobel",
Nridev,King amongst men,
Nripa,King,
Nripendra,King of kings,
Nripesh,King of kings,
Nujha,Nujha,
Offical work,I want to copy nepali fint for offical work,
Oja,"Lustre, glow",
Om,The sacred syllable,
Omkar,The sound of the sacred syllable,
Omprakash,Sacred light,
Paavan; Paawan,"Pure, Sacred",
Padam,Please advise us the meaning of this name.,
Padam/Padma,Lotus,
Padmanabha,Lord Vishnu,
Palash,A flowering tree,
Pallav,New leaves,
Pankaj,Lotus flower,
Pappu,Please advise us the meaning of this name.,
Parag/Paraag,Pollen,
Parakram,Strength,
Paramananda,Superlative joy,
Paramesh,"The supreme lord, title for Vishnu or Shiva",
Parameshwar,The supreme God,
Paramjeet/Paramjit,Highest success,
Paranjay,Varun; Lord of the Sea,
Paras/Paaras,Touchstone,
Parashar,An ancient,
Paresh,Supreme Lord,
Paribartan,M,
Parijat,A celestial flower,
Parikshit,Proven; name of an ancient king,
Parimal,Fragrance,
Paritosh,"Satisfaction, contentment",
Parjun,Please advise us the meaning of this name.,
Parmesh,God,
Partha,A name given to Arjun by Lord Krishna,
Parul,Graceful,
Parvat/Parbat,Mountain,
Parvesh,Lord of celebration,
Parvesh/Parwesh,Lord of celebration,
Paryas,To try,
Pasang,Pease advise us the meaning of this name,
Pathik,Traveller,
Pavan/Pawan,Breeze,
Pavitra/Pabitra,Pure,
Pawan,(Paawan) pure,
Peshal,"Clever, Wise, Beautiful",
Phalgun,A month in Hindu Calander,
Phanindra,Seshnag; the divine snake,
Pitambar,Yellow robed; Lord Vishnu,
Piyush,"Milk, nectar",
Poojan,Worship,
Poojit,Worshipped,
Poorna/Purna,Complete,
Prabal,"Very strong, mighty",
Prabesh,M,
Prabhakar,Sun,
Prabhas,Lustrous,
Prabhat,Dawn,
Prabhav,"Power, might, influence",
Prabhu,God,
Prabin,Knowledge,
Prabir,"Hero, brave one (Praveer)",
Prabodh,"Vigilance, sound advice",
Prabuddha,Awakened,
Prachanda,"Good counseling , honesty , he can motivated others",
Pradeep,Hajur,
Pradeep/Pradip,"Light, shine",
Pradhumna,Son Of Lord Krishn,
Pradyot,Lustre,
Pradyumna,Cupid,
Prafulla,"Pleasant, cheerful",
Pragun,Straight; honest,
Prahalad,Bliss,
Prajeet/Prajit,"Victorious, king",
Prajesh,Lord Brahma,
Prajit,Please advise us the meaning of this name.,
Prajwal,M,
Prajwol,M,
Prakash,Light,
Prakat,Manifest,
Prakhyat,Famous,
Prakrit,Nature/ handsome,
Prakshin,Manifestation of lord Shiva.,
Prakul,Good-looking,
Pramesh,Master of accurate knowledge,
Pramit,Consciousness,
Pramod,"Delight, happyness",
Pran/Praan,"Vital breath, life",
Pranav,Romance; The sacred syllable OM,
Pranay,"Love, romance",
Pranish,Please advise us the meaning of this name.,
Pranit,Modest,
Pranjol,Please advise us the meaning of this name!,
Prankit,Please advise us the meaning of this name.,
Prasad,Offering to god during pooja,
Prasanna,"Cheerful, pleased",
Prasata,Father of Draupad,
Prashant,Please advise us the meaning of this name,
Prashant/Prashanta,Calm and composed,
Prasid,Pease advise us the meaning of this name,
Prasiddha,Famous; Popular,
Prasoon/Prasun,Flower,
Prasun,Please advise us the meaning of this name.,
Pratap,"Dignity, majesty, glory",
Pratik,Symbol,
Pratiman,Please advise us the meaning of this name.,
Pratit/Prateet,Manifested,
Pratosh,Delight,
Prattyush,Delightful morning,
Praval/Prawal/Prabal,"Fierce, strong",
Praveen,Please advise us the meaning of this name.,
Praveen/Pravin/Prabin,"Expert, skilled",
Pravir,Brave,
Prayag,Confluence of Ganga-Jamuna-Saraswati,
Prayan,Supreme Inteligence,
Prayankar,Divine,
Prayash,Basu,
Prayasi,Pease advise us the meaning of this name,
Prem,Love,
Premal,Full of love,
Prijan,Please advise us the meaning of this name.,
Prince vivekananda itani,Boy ggggggggggggijjjjjjjjjjjjjjjjjj kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkh h,
Pritam,"Beloved, lover",
Prithak,Different from other,
Prithu,A king from the epics,
Prithvi/Prithivi,The earth,
Pritish,Lord of love,
Priya tamang,Fnewkf,
Priyam,Hero of epic,
Prusutam,Prusutam is name of load ram name,
Pujit,Worshipped,
Punit/Puneet,"Pure, auspicious, holy",
Purna/Poorna,Complete,
Purnendu,Full moon,
Puru,A legendary King,
Purushottam,Best among men,
Pushkar,Lotus; a lake,
Pushpraj,King of flowers,
Raaz,Please advise us the meaning of this name.,
Rabin,"Name of a Bird (Dhobi Chara, Damber)",
Rabin khadaka,Regrta,
Rabina,Pease advise us the meaning of this name,
Raghav/Raghab,Lord Rama,
Raghu,The family of Lord Rama,
Rahul,Son of Lord Buddha,
Raj,"Royalty, kingdom",
Raja,King,
Rajan,King,
Rajarshi,King's sage,
Rajeev; Rajiv,Lotus,
Rajendra,King,
Rajesh,King,
Rajit,Decorated,
Rajiv,Please advise us the meaning of this name.,
Rajiv/Rajeev,Lotus,
Rajkumar,Prince,
Rajul,Brilliant,
Rajyeshwar,King,
Rakesh,The moon; Lord of the night; Sun,
Rakin,Please advise us the meaning of this name.,
Raksha,Protection,
Ram,The name Ram is a Sanskrit baby name. In Sanskrit the meaning of the name Ram is: Pleasing. Rama was mythological seventh incarnation of Vishnu and his story is told in the Hindi Ramayana.,
Raman,"Beloved, pleasing",
Ramchandra,Lord Rama,
Ramesh,Lord Vishnu,
Ramesh muna,Ramesh muna,
Ramesh Pandey,Student,
Rameshwar,Lord Shiva,
Ramish,Please advise us the meaning of this name.,
Ramit,Hakku,
Ramkrishna,"Lord Rama, Krishna",
Ranajit,Victorious,
Randhir,Brave,
Ranjan,"Pleasing, entertaining",
Ranjit/Ranjeet,Victorious,
Ranjiv,Victorious,
Rasik,"Full of feeling, passion, a connoisseur",
Ratish,Cupid,
Ratna/Ratan,Precious stone,
Ratnakar,Ocean,
Ratri,Night,
Ratul,Sweet,
Raunak,"Brightness, radiance",
Ravi kumar,M,
Ravi/Rabi,Sun,
Ravikiran,Sun ray,
Ravindra,God of sun,
Ravindra/Rabindra,Sun,
Rayam,Please advise us the meaning of this name.,
Rayan,Please advise us the meaning of this name.,
Reewaj,M,
Regal,M,
Rehant,Please advise us the meaning of this name.,
Remash,Male,
Resham,Silk,
Reyan,"A man who love sacrifice. 95 percent, girls love this name",
Ridam Nyoupane,"Nepali Date and Time : Thursday, March 12, 2015, 11:55 PM",
Riddhiman,Possessed of good fortune,
Rijul,Innocent,
Rimas,Pease advise us the meaning of this name,
Rishab,Please advise us the meaning of this name!,
Rishabh/rishab,"Morality, superior",
Rishav,Lord shiva,
Rishi,"A saint, sage",
Rishikesh,Lord Vishnu,
Riwaj,"Custom, Perfection",
Rizel,Please advise us the meaning of this name.,
Rochan,"Red lotus, bright",
Rohan,Ascending,
Rohit,"Son of Sidhartha, red",
Rohit raj,M,
Rojila,Meaning,
Roman,Please advise us the meaning of this name.,
Ronak,Celebration,
Roop,Figure,
Roopak,Dramatic composition,
Roshan,Illumination,
Roshil,The very frist dew drop from full Moon,
Rubel,Big Revolution,
Ruben,Trustworthy; Truthful; Compassion Above Heaven,
Ruchir,Beautiful,
Rudra,"Fearsome, name of Lord Shiva",
Ruhan,Spiritual,
Rujul,"Simple, honest",
Rupak,"Sign, Feature",
Rupal,Made of silver,
Rupesh,Lord of beauty,
Rupin,Embodied beauty,
Rushil,Charming,
Saadya,Saadya,
Saashak,Saashak,
Sabal,With strength,
Sabin,Politeness; A person with the practical application of good manners or etiquette.,
Sabinaya,Politely,
Sabung,Please Add Meaning of the Name,
Sachchit,"Truth, Consciousness",
Sachet,Consciousness,
Sachetan,"Rational, animated, couscious",
Sachin,One who find truth,
Sachin/Sachindra,Lord Indra,
Sachit,Consciousness,
Sadar,Respectful,
Sadhan/Saadhan,Means,
Safal,Succeed,
Sagar,"Earth, sea, ocean",
Sagendra,Please advise us the meaning of this name.,
Saghun,A boys name,
Sagun,"Auspicious gift, omen",
Sahadev,Prince,
Sahaj,Natural; Easy,
Saharsh,With joy,
Sahas,(Saahas) bravery,
Sahdev,One of the Pandava princes,
Sailesh,Please advise us the meaning of this name.,
Sajal,Moist,
Sajan,Lover,
Sajan/Saajan,Beloved,
Sajil,Pease advise us the meaning of this name,
Sajina,Please advise us the meaning of this name.,
Sajiv,Lively,
Sajjan,Gentleman,
Sakchhyat,As clear as mirror .,
Saket,Lord Krishna,
Sakshat,As clear as mirror,
Sakshyam,Sakshyam,
Sakun,Sakun,
Samar,War,
Samarjit,Lord Vishnu,
Samartha,Powerful,
Samarthya,Capable,
Samarthya/Samartha,Capable,
Samayam,Father of baby,
Sambhav,Born; mainfested,
Sambhuter,Testeradded,
Sambit,Consciousness,
Sambuddha,Wise,
Sameer,Please advise us the meaning of this name.,
Sameer/Samir,Wind,
Samir,M,
Samiran,Breeze,
Sampad/Sampat,Prosperous,
Samrachana,Creation,
Samraj,Please advise us the meaning of this name.,
Samrat,King,
Samu,Please advise us the meaning of this name,
Samudra,Ocean,
Samyag,I dont know the meaning of the name,
Samyam,Patience,
Samyog,Coincidence,
Samyuk,Samyuk,
Sanat,Lord Brahma,
Sanchay,Collection,
Sanchit,Collected,
Sandeep,Tall,
Sandeep/Sundip,A lighted lamp,
Sandesh,Sms massege,
Sandesh xetri,Sms massege xzxx,
Sandip,Please advise us the meaning of this name.,
Sangam,"A confluence of rivers, especially that of the saptakoshi at Nepal.",
Sanidhya,Please advise us the meaning of this name!,
Sanj,Proud,
Sanjay,A victorious,
Sanjay Aryan,Add my Name with its meaning,
Sanjeev/Sanjiv,"Giving life, re-animating, unconquerable",
Sanjib,"Immortal,charming",
Sanjit,Who is always victorious,
Sanjog,Coincidence,
Sankalpa,Resolve,
Sanket,Signal,
Sanskar,"Culture,sacrament",
Santosh,"Satisfaction, happiness, contentment",
Sanyam,Please advise us the meaning of this name!,
"Sanyog, Sanjog",Conincidence,
Sapan,Dream,
Saral,"Simple, straightforward",
Sarang,Spotted deer,
Saras,"Juicy, blissful",
Sarasvat,Learned,
Sarat/Sarad,A sage,
Sarba,All,
Sarbagya,All knowing,
Sarbajit,One who has conquered everything,
Sarik,Please advise us the meaning of this name.,
Sarin,Most strongest,
Sarish,Equal,
Sarmila,"She is funny, cute, pretty, friendly, talkative",
Sarthak,"Having meaning, purpose, accomplished",
Saru,Nice,
Sarup/Swaroop,Having form or shape,
Sarvesh/Sarwesh/Sarbesh,Lord of all,
Satindra/Satyendra,Lord of truth,
Satish,"Victorious, ruler of hundreds",
Satruijt/Shatrujit,"A son of Vatsa, Conquerer of the enemy",
Satyajit,Victory of truth,
Satyam,Truth,
Satyanarayan,Lord Krishna,
Satyavan,Husband of Savitri; true,
Satyavrat,King; Kingdom,
Satyavrata,Dedicated to truth,
Satyendra,Lord of truth,
Saubhagya,Good luck,
Saugat,Hello frd,
Saumya,"Sober, serious",
Saunak,Boy sage,
Saurav/Saurabh,"Divine, celestial, fragrance",
Savir,Leader,
Savit,Sun,
Sawa,A Hindu month,
Searash,Please advise us the meaning of this name.,
Seung kung,Seung kung,
Sevak/Sewak,Servant,
Seven flever,Seven flever,
Shaan,Pride,
Shahid,Martyr,
Shailendra,Please advise us the meaning of this name.,
Shailendra/Shailen,King of mountains,
Shailesh,"God of mountain, Himalaya",
Shaisab,Please advise us the meaning of this name.,
Shajan,Please advise us the meaning of this name.,
Shalikram sapkota,Saman sapkota,
Shambhu,Lord Shiva,
Shamindra,Quiet; gentle,
Shamish,Please advice us the meaning of this name.,
Shamit,Peacemaker,
Shankar,"Lord Shiva; Benevolent, Giver of Bliss",
Shanta,"Peace, gentle",
Shantanu,A king from the qpic Mahabharata,
Sharad,"-Pleasant and amusing,Season of festivals",
Sharad/Sarat,Autumn,
Sharadchandra,Autumn moon,
Sharan,"Shelter, refuge",
Shardul,Tiger,
Shashank,Moon,
Shashanka,M,
Shashwat,"Ever lasting, continuous",
Shaswat,"Meaning the universal truth.The truth,The Right",
Shaswot,M,
Shatrughna/Shatrughan,Victorious,
Shatrujit,Victorious over enemies,
Shayal,Please advise us the meaning of this name.,
Shekhar,Lord Shiva,
Shesh,"Cosmic serpent, remnant",
Shibu,Please advise us the meaning of this name!,
Shijan,Only,
Shikhar,Peak,
Shirish/Sirish,A flower; raintree,
Shishir,Winter; One of the name of Lord Vishnu in his sahashranam strotra,
Shishir raj,M,
Shital kumar,Shital kumar,
Shiva,"Shiva is one of the principal deities of Hinduism. He is the Supreme Being within Shaivism, one of the major traditions within contemporary Hinduism. Shiva is the ""destroyer of evil and the transformer"" within the Trimurti, the Hindu trinity that includes Brahma and Vishnu.",
Shiva; Shiv,Lord Shiva,
Shivesh,Lord Shiva,
Shobhan,Splendid,
Shrajib,I need the meaning of the name shrajib,
Shrajit,I need the meaning of the name shrajit,
Shravan,Name of a Hindu month,
Shrees,Shesa,
Shreesh/Shrish,Lord of wealth,
Shreshta,The best,
Shreyas,Good,
Shridhar,Lord Vishnu,
Shrigopal,Lord Krishna,
Shrihari,Lord Krishna,
Shrikanta,Beautiful,
Shrikrishna,Lord Krishna,
Shripad,Lord Vishnu,
Shrish,Lord Vishnu,
Shubham,Male/son,
Shubhashish,M,
Shulabh,Easy,
Shyam,"Black, Lord Krishna",
Shyamsundar,Lord Krishna,
Siddhanta,Principle,
Siddhartha,Name of Buddha,
Siddhi/Siddha,Achievement,
Sirish,M,
Slekha,Princess,
Smaran,Remembrance,
Sohan,"Good looking,charming",
Sohil,Beautiful,
Som,The moon,
Somyum,This is a name of boy which is lattest find out.it means together.,
Son,My new boy need new name,
Sonam,Fortunate,
Sonit Awal,"Sonit Awal, 4 month old baby boy trapped for 20 hours after earthquake in Nepal, survived.",
Soren,"It means severe,stern..",
Sourabh,Fragrance,
Sovit pande,AlWaYs HaPpY Lord Krishna :),
Sridhar,Lord Shiva,
Srijal,Pure water,
Srijan,Creation,
Srijana,Pease advise us the meaning of this name,
Suarez,A philosopher,
Subal,A friend of Lord Krishna,
Subam,Start wishes for Good,
Subarna,Of the colour of gold,
Subas,Fragrance,
Subham,Subham,
Subhan,Aware,
Subhas/Subhash,Soft spoken,
Subhav,One With Noble Thoughts,
Subigya,"Knowledgeable, Disciplined",
Subit,Please advise us the meaning of this name.,
Subodh,"Sound advice, easily understood",
Subrat,Strict in religious vows (Subrata),
Sudarshan,Pease advise us the meaning of this name,
Sudarshan/Sudarsan,Good looking,
Sudeep; Sudip,Please Advise us the meaning of this name.,
Sudesh,Good country,
Sudeva,Good Deva,
Sudhakar,"Full of nectar, moon",
SUDHAN,SUDHAN,
SUDHAN PAUDEL,SUDHAN,
Sudhanshu,The moon,
Sudhindra,Lord of knowledge,
Sudhir/Sudheer,"Resolute, patient",
Sudip,"Handsome, bright",
Sugandha,"Sweet smelling, fragrance",
Sughan,A boys name,
Suhail,The king of world,
Suhas/Suhaas,With a lovely smile,
Sujan,Honest,
Sujash,Illustrious,
Sujatamohan,Mohan,
Sujay,Victory,
Sujeen,Meaning of sujeen,
Sujen,Please advise us the meaning of this name.,
Sujit,Winner,
Sukanta,Handsome,
Sukesh,With beautiful hair,
Sukrit,Good deed,
Sukumar,"Very tender, handsome",
Sulabh,Easy; Natural,
Sulav,Please advise us the meaning of this name.,
Sulekh,Beautifully written,
Sulochan,One with beautiful eyes,
Suman,"Flower, good heart",
Sumangal,Very auspicious,
Sumant,Wise,
Sumantu,Atharva Veda was assigned to him,
Sumedh,Clever,
"Sumeet,Sumit",A good friend,
Sumin,Sumin,
Sumit,Please advise us the meaning of this name.,
Sumit rayamajhi,I want to know the meaning of my name...,
Sunand,Pleasant,
Sunash,Sunash for ashma and sunil,
Sundar,"Attractive, beautiful",
Suneet,Of good principles; prudent,
Sunil,Blue; sapphire,
Sunirmal,Pure,
Suprakash,Manifested,
Suprich,Full Form of Sun Earth and Moon in Nepali,
Suprit,Loving,
Sur,A musical note,
Suraj,Sun,
Suranjan,Pleasing,
Suras,Juicy,
Surendra,Subhadeep shreya salina,
Surendra/Suren,Another name of Indra,
Suresh,"Sun, Indra",
Surit,Well-disposed,
Sursam,Pease advise us the meaning of this name,
Surya,Sun,
Susan,No meaning,
Sushankhya,M,
Sushanta/Sushant,Calm,
Sushil,Well-behaved,
Sushobhan,Very beautiful,
Susma,Ray of the sun,
Sutej,Lustre,
Suvam,The End,
Suvan,The sun,
Suvrat/Suvrata,Strict in religious vows (Subrata),
Suyash,Illustrious,
Suyog,Opportune time,
Swagat,Welcome,
Swami,Master,
Swapan,Dream,
Swapnil,Dreamlike,
Swarup/Sarup,"Truth, self-image",
Swastima,Please advise us the meaning of this name.,
Swatantra,Free from all boundaries,
Swayambhu,"Self existent, Lord Shiva",
Swornim,Meaning of swornim,
Taehyung,"Superior, Big",
Tanisha,Please advise us the meaning of this name.,
Tanuj,Please advise use the meaning of this name.,
Tapan,"Sun, summer",
Tapas,"Heat, penance",
Tarak,"Star, pupil of eye, protector",
Taral,Liquid,
Taran,"Raft, heaven",
Tarang,Wave,
Tarini/Tarani,Boat; take ashore,
Tarun,"Young, youth",
Tej,Bright,
Tej Narayan,Please advise us the meaning of this name.,
Tejas,Lustre; brilliance,
Teju,Please advise us the meaning of this name.,
Thakur,Leader; god,
Tika,Auspicious symbol in the forehead,
Tilak,"Ornament, ornamental mark on forehead",
Tilanjal,"Mixed of water and Til, a pure substance used to worship.",
Tirtha,Holy place,
Toophan,Storm,
Toshan,Satisfaction,
Tribhuvan,The tree worlds,
Tribikram,"The Holy Trinity of Bhrama, Bishnu, and Maheshwor",
Trilochan,"Three eyed, Lord Shiva",
Trilok,"The three worlds (heaven, earth, hell)",
Trishanku,A king of the Surya dynasty,
Tshering,Tshering or Tsering is a Unisex name used both in Tibet and Nepal. It Means Long Life.,
Tufan,Storm,
Tulasi/Tulsi,The sacred plant,
Tulsi,Medicinal Plant; Sign of Hinduism,
Tushar,"Winter, frost",
Tyag,Sacrifice,
Udar,Generous,
Udaya/Uday,To rise,
Uddhav,Lord Krishna's friend,
Udit,"Grown, awakened, shining, risen",
Ujesh,One who gives light,
Ujjwal,Bright; Brightness; Light,
Ujwal,Bright,
"Ujwal,Ujjala",Bright,
Ulban,Please advise us the meaning of this name.,
Ullas,Happyness,
Ullash,Pease advise us the meaning of this name,
Umanga,Enthusiasm,
Umesh,Lord Shiva,
Unnabh,Highest,
Unnat,"Pregressive, energized",
Upendra,Lord Vishnu,
Utkarsh,"Prosperity, awakening",
Utkrishta,Best,
Utpal,"Water lily, fleshless",
Utsang,Embrace,
Utsarg,Dedicating,
Utsav,Celebration,
Uttam,Best,
Uttar,"Son of king Virata, north",
Vaibhav,Riches,
Vallabh/Ballabh/Ballav,Beloved,
Vasava,Indra,
Vatsa/Batsa,Son,
Vatsal/Batsal,Love/affection,
Ved,A sacred text,
Vikram/Bikram,Glorious king,
Wangdi,Morning shift,
Yadab/Yadav,Lord Krishna,
Yadunath,Lord Krishna,
Yagya,Holy ceremony,
Yalamber,1st Kirati King of Nepal,
Yam,Please advise us the meaning of this name.,
Yam kumar batas,Jst jokra,
Yama,Please advise us the meaning of this name.,
Yamaraj,Lord of Death,
Yash,Fame,
Yatindra,Lord Indra,
Yatish,Lord of devotees,
Yogendra,God of Yoga,
Yogesh,"God of Yoga, Lord Shiva",
Yogi,Devotee,
Yogi/Yogita,Devotee,
Yojak,Unique from others,
Yougal,Couple / Jodi,
Yubin,Yubin,
Yubraj,Please advise us the meaning of this name.,
Yuddha/Juddha,War,
Yural,M,
Yuvaraj,"Prince, heir apparent",
Zenith,Just above,
,,
Aachman,Intake of a sip of water before a yagya or puja,Indian
Aadeez mangal,Mangal,Indian
Aadveer,Please advise us the meaning of this name!,Indian
Aadvyam,Starting from us,Indian
Aafreen,Encouragement,Indian
Aaham,Please advise us the meaning of this name!,Indian
Aahan,Please advise us the meaning of this name.,Indian
Aakash,The sky,Indian
Aalap,Musical,Indian
Aamir saba,Aamir khan,Indian
Aandaleeb,The Bulbul bird,Indian
Aanir,Please give meaning with this name,Indian
Aantpur,Please advise us the meaning of this name!,Indian
Aaqib,Please advise us the meaning of this name!,Indian
Aarti,Plz comment,Indian
Aartish,Please advise us the meaning of this name.,Indian
Aarvick,Please advise us the meaning of this name.,Indian
Aashav,Please advise us the meaning of this name.,Indian
Aashay,Please advise us the meaning of this name.,Indian
Aashish,Blessings,Indian
Aashvat,Please advise us the meaning of this name!,Indian
Aayansh,"The first Ray of light, Gift of God, Part of parents",Indian
Abaan,"“the time of something”, as in the time of the coming out of the stars in the evening",Indian
Abdul Shah,Abdul Shah,Indian
Abeer,Color; Colourful,Indian
Abhash,Please advise us the meaning of this name.,Indian
Abhay,Fearless,Indian
Abhayaprada,"Bestower of safety, another name for Vishnu",Indian
Abheek,Fearless,Indian
Abhi,Fearless,Indian
Abhiansh,Abhiansh is very sweet name,Indian
Abhibhava,"Overpowering, powerful, victorious",Indian
Abhicandra,"With a moon like face, one of the seven Manus of the Svetambara jain sect",Indian
Abhideep,Illuminated,Indian
Abhihita,"Expression, word, name",Indian
Abhijaya,"Conquest, complete victory",Indian
Abhijit,One who is victorious (Abhijeet),Indian
Abhijvala,Blazing forth,Indian
Abhilash,Desire,Indian
Abhimanyusuta,Son or Abhimanyu,Indian
Abhinandan,Wing commander,Indian
Abhinav,Quite new,Indian
Abhinava,"New, young, fresh, modern, a sakta notable for his great leaning and spiritual attainment",Indian
Abhishek Srivastava,Abhirit,Indian
Abhra,Cloud,Indian
Abhrakasin,"With clouds for shelter, an ascetic",Indian
Abhyansh,Please advise us the meaning of this name.,Indian
Abhyudita,"Elevated, risen, prosperous",Indian
Abjayoni,"Born of the lotus, another name for Brahma",Indian
Abjit,Conquering water,Indian
Abraham,Please advise us the meaning of this name.,Indian
Acalapati,"Lord of the immovable, lord of mountain",Indian
Acalendra,"Lord of the immovable, the Himalayas",Indian
Acalesvara,"God of the immovable, another name for Shiva",Indian
Acanda,"Not of the hot temper, without anger, gentle",Indian
Acarya,"Teacher, another name for Drona, Asvaghosa and krpa",Indian
Acaryanandana,"Son of the teacher, another name for Asvatthaman",Indian
Acaryasuta,"Son of the teacher, another name for Asvatthaman",Indian
Acaryatanaya,"Son of the teacher, another name for Asvatthaman",Indian
Acchindra,"Flawless, uninterrupted, perfect",Indian
Achal,Constant,Indian
Achyut,Imperishable; A name of Vishnu,Indian
Achyuta,Indestructible,Indian
Acintya,"Surpassing thought, incogitable",Indian
Acyutaraya,"Worshipper of the infallible, a devotee of Vishnu",Indian
Adalarasu,King of dance,Indian
Adarsh,Ideal,Indian
Adeep,Please advise us the meaning of this name.,Indian
Adhita,A scholar,Indian
Adhyatm,A one who is spiritual.,Indian
Aditeya,Another name for the sun,Indian
Aditya Chuhan,List,Indian
Adityavardhana,Augmented by glory,Indian
Adnan,Adnan,Indian
Adway,One; united,Indian
Adwaya,Unique,Indian
Adyansh,First hope,Indian
Aftab,The sun,Indian
Agasti,Agastya name of a sage,Indian
Agendra,King of mountains,Indian
Agha,Pre-eminent,Indian
Agniprava,Bright as the fire,Indian
Ahijit,Conquerer of the serpent,Indian
Ahilan,"Knowledgeable, commanding",Indian
Ahmad,"Praiseworthy, commendable",Indian
Ahsan,Mercy,Indian
Aijaz,Favour,Indian
Aiman,Fearless,Indian
Ainwik,Please advise us the meaning of this name.,Indian
Aishu,Please advise us the meaning of this name.,Indian
Ajan,Please advise us the meaning of this name.,Indian
Ajinkya,Invincible,Indian
Ajju,Please advise us the meaning of this name.,Indian
Ajran,Please advise us the meaning of this name.,Indian
Akalmash,Stainless,Indian
Akalpa,Ornament,Indian
Akash,Sky,Indian
Akbar,Please advise us the meaning of this name!,Indian
Akmal,Complete,Indian
Akram,Excellent,Indian
Akroor,Kind,Indian
Akshat,Uninjurable,Indian
Akshath,Indestructible,Indian
Akshay,Indestructible,Indian
Alagan,Handsome,Indian
Alagarasu,"Handsome king, King of beauty",Indian
Alam,Aalam the whole world,Indian
Alamgir,The lord of the whole world,Indian
Alishan,Please advise us the meaning of this name.,Indian
Allahuakbar,Allahuakbar,Indian
Aloke,Light,Indian
Alvish,Please advise us the meaning of this name.,Indian
Aman kumar,Y the meening of aman,Indian
Amanath,Treasure,Indian
Amanda,Active,Indian
Amandeep,"Sharp witted; light, lamp of peace.",Indian
Amayra,Please advise us the meaning of this name!,Indian
Ambar,Sky,Indian
Ambarish,The sky,Indian
Ameen,The legend warriors,Indian
Amendra,God Blessing; Sense of Justice,Indian
Amitabha,Amitav limitless lustre; name of Lord Buddha,Indian
Amitava,Same as Amitabh,Indian
Amitbikram,Limitless prowess,Indian
Amitrasudan,Destroyer of enemies,Indian
Amjad,Please advise us the meaning of this name.,Indian
Amlankusum,Unfading flower,Indian
Ammar,The maker,Indian
Amol,"Priceless, Valuable",Indian
Amolik,Amolak priceless,Indian
Amreesh,Another name of Lord Indra.,Indian
Anamitra,The one without enemies; The Sun,Indian
Anand,Bliss,Indian
Ananda,Anand joy; happiness,Indian
Ananga,Anang name of Cupid or Kamadeva,Indian
Ananmaya,One who cannot be broken,Indian
Anant,Infinite,Indian
Ananta,Anant infinite,Indian
Anantram,Eternal god,Indian
Anbarasu,King of love,Indian
Anbu,"Love, kindness",Indian
Anbuchelvan,"Kind, king of love",Indian
Anbumadi,Kind and intelligent,Indian
Angad,An ornament,Indian
Angada,"Bracelet, brother of Wali and Sugreev",Indian
Angamuthu,Made of pearls,Indian
Anil singh,Anil,Indian
Anilkokode,Ahshsbnzh,Indian
Animish,Animesh open-eyed therefore attractive,Indian
Anirudhha,Cooperative,Indian
Anisa,Supreme,Indian
Anit,Please advise us the meaning of this name.,Indian
Anjab,Please advise us the meaning of this name.,Indian
Anjasa,"Guileless, deceitless",Indian
Anjat,Please advise us the meaning of this name.,Indian
Anjesh,Please advise us the meaning of this name.,Indian
Anjum,A token,Indian
Anjuman,A token; a symbol,Indian
Ankay,Sensitive,Indian
Anku,Anku,Indian
Ankur Singh,Ankur Singh,Indian
Anoop,"Incomparable, the best",Indian
Ansari,Please advise us the meaning of this name.,Indian
Ansh,Pls suggest Mobile Shop name,Indian
Ansh Raj Singh,Ansh Raj Singh,Indian
Anshu,The sun; Rays os sun,Indian
Anshul,Radiant,Indian
Antram,Please advise us the meaning of this name.,Indian
Antriksh,Please add the meaning of my name,Indian
Anu,An atom,Indian
Anudhyansh,A Cute boy,Indian
Anuha,Satisfied,Indian
Anuj,Younger brother,Indian
Anunay,Supplication; consolation,Indian
Anupransh,Please advise us the meaning of this name.,Indian
Anush,Please advise us the meaning of this name.,Indian
Anvesh,Please advise us the meaning of this name.,Indian
Anwar,Devote of God,Indian
Apoorva,Quite new; Unique,Indian
Apparajito,Undefeated,Indian
Apurv,New; Extraordinary; Unprecedented,Indian
Apurwa,Like never before; unique; one of a kind.,Indian
Arafat,Arafat,Indian
Aran,Please advise us the meaning of this name.,Indian
Arav,Peaceful,Indian
Aravali,Righteous,Indian
